InterestGroups,InitiativeNumber,InitiativeName,Summary,FocusArea,Timeframe,StartDate,CompletionDate,ResponsibleAgency,LocalGovernmentAreas,Status,Image,ImageAlt
Ecologist,30,Assist in Closing the Gap through economic development opportunities��,"Resource development provides vast economic development opportunities for First Nations peoples and communities, and the resources industry has an important role to play in Closing the Gap. Under the National Agreement on Closing the Gap32, the Queensland Government has committed to: 
� changing how government works with Aboriginal and Torres Strait Islander peoples 
� meeting a range of economic targets. 
To meet the national agreement commitments and targets, the Queensland Government has developed, and is implementing, Queensland?s 2021 Closing the Gap Implementation Plan.",4: Ensure Strong and Genuine Aboriginal and Torres Strait Islander Partnerships,Ongoing,,N/A,DSDSATSIP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,31,Establish a working group to develop a Queensland resources industry workforce plan�,"The skills that the resources industry needs are changing, which will require effective workforce planning at state and regional levels. The Queensland Government will establish a working group to develop a workforce plan for the Queensland resources industry to identify the future skills needed in the regions for existing and new workers. The working group will comprise industry, training providers, worker representatives and government. This group will build on the work that industry has already started, such as the More to Mining Careers Guide developed by the Minerals Council of Australia. The group will also examine ways to make the workforce more diverse and inclusive by attracting and retaining women, former defence personnel, First Nations peoples and people with a disability.",5: Build a Safe and Resilient Future Workforce,2022-2023,,N/A,DESBT,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,32,Support industry to attract a skilled workforce��,"A key challenge facing the resources industry is attracting appropriately skilled workers to pursue careers in the sector. Experiential learning opportunities and high-quality information are needed to help people with these career choices. Programs like the government?s Gateway to Industry Schools Program?which funds the QMEA?expose high school students to the resources industry, helping them decide whether to pursue a career in the industry. The Queensland Government will continue to support the QMEA program and investigate whether industry needs more support to attract workers.",5: Build a Safe and Resilient Future Workforce,Ongoing,,N/A,Industry,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,33,Develop a diverse and inclusive workforce�,"A diverse and inclusive workforce has tangible benefits and is critical for the resource industry?s future success. Resources companies need to develop new policies and procedures, and evaluate the effectiveness of current ones, to make their workforces more representative and inclusive. Potential initiatives include: 
� providing more opportunities for women to perform non-traditional roles 
� creating pathways for Aboriginal and Torres Strait Islander workers to fill positions at all levels 
� providing more opportunities for people with a disability to have fulfilling careers 
� providing opportunities for defence force veterans to transition into the industry.",5: Build a Safe and Resilient Future Workforce,Ongoing,,N/A,Industry,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,34,Support the training needs of existing and future workers�,"Training and training providers need to work closely with industry and evolve continuously, as occupations in the resources industry change rapidly due to changing technologies. The Queensland Government will work with industry to ensure resources workers get the skills they need to remain highly capable and adaptable. To do this, government will: 
� explore non-traditional skilling pathways in partnership with training providers and industry 
� work with industry through innovative partnerships, such as the Queensland Future Skills Partnership (led by BHP Mitsubishi Alliance).",5: Build a Safe and Resilient Future Workforce,Ongoing,,N/A,DESBT,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,35,Continue to implement the Digital Professional Workforce Action Plan 2020-2024�,"The Digital Professional Workforce Action Plan 2020?202435 is part of the Queensland Government?s $200 million Future Skills Fund. This includes an $8 million investment aimed at supplying an additional 10,000 digital professionals by 2024 to meet the expected increase in digital jobs. Digital professionals will be critical in creating new opportunities for the resources industry going forward, and this plan will help ensure it has access to the requisite skills it needs. The government will continue to implement the Digital Professional Workforce Action Plan 2020?2024 over the coming years.",5: Build a Safe and Resilient Future Workforce,2020-2024,,30/04/2022,DCHDE,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,36,Improve resource project assessment processes�,"A credible, transparent and efficient assessment system, which is easily understood and respected by industry and the community, is an essential element of responsible government. In Queensland, several agencies are involved in processing resource applications. The Queensland Government will make the following improvements to these processes to speed up the process and find efficiencies: 
� Improve coordination and communication among relevant departments and governments 
� Improve the capability of industry and assessing agencies 
� Increase transparency for applicants and the community. 
The government will work further with stakeholders to implement business process improvements. For more information on improvements to assessment processes, refer to ?Expanding on our action to improve resource project assessment processes? on page 79.",6: Improve Regulatory Efficiency,2022-2023,Commenced,30/03/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,37,Develop a data resources development plan�,"Quality data is essential for making evidence-based decisions and supporting industry innovation for economic prosperity. Through our open data portals, Queensland Globe and GeoResGlobe, the government publishes thousands of datasets on land, property, geospatial and geoscience. Industry uses this information to make business investment decisions. The Department of Resources is developing a data resources development plan to ensure the quality and value of this data. This plan will implement efficient data collection processes for the resources industry. This will also support the government?s improvements to resource project assessment processes.",6: Improve Regulatory Efficiency,2022,TBC,N/A,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,38,Improve land release process�,"The Queensland Government has a land release process that includes both direct applications (for non-coal minerals) and competitive tendering (all commodities) for resources tenure. Recent reviews of Queensland?s land release and competitive tendering process have identified issues that affect operational efficiency, industry and community confidence in the process, and, ultimately, the level of investment in Queensland?s exploration sector. The Queensland Government will implement three initiatives to address these issues: 
� Review the land release model, tender timing and frequency 
� Streamline decision making and reduce timeframes 
� Include highly prospective minerals exploration areas in the Queensland Exploration Program",6: Improve Regulatory Efficiency,2022,1/04/2022,30/03/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,39,"Implement reforms for objections, review and notification processes for project approvals�","There are inconsistencies in approaches to objection and review mechanisms for administrative decisions across the Resource Acts.37 These can cause delays and create inequities for stakeholders. The government intends to refer to the Queensland Law Reform Commission a review of the objections processes for mining leases under the Mineral Resources Act 1989, including the role of the Land Court in this process, and whether a consistent process should be applied to petroleum leases. The review will also include the associated review processes with environmental authorities under the Environmental Protection Act 1994. The terms of reference for the review will be developed in consultation with key stakeholders. Timing for the review will be confirmed in the final plan. While the Commission undertakes this work, the government will investigate opportunities to harmonise broader review mechanisms for other decisions across the Resources Acts to provide more transparency, consistency and equity for stakeholders. We will also investigate targeted legislative amendments to streamline public notification processes. All reforms will maintain environmental protections and the opportunity for the community to participate.",6: Improve Regulatory Efficiency,2022-2024,Not yet commenced,N/A,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,40,Implement reforms for small-scale mining�,"The state?s return from the regulatory and administrative effort it expends on regulating small scale mining is limited due to small production amounts which provide limited economic returns to the state. Additionally, a recent cost-benefit analysis found that the sector had only a marginal benefit on the Queensland economy and surrounding communities.38 As a result, the Queensland Government proposes to remove mining claims from the Mineral Resources Act 1989. It will implement an immediate moratorium on accepting new mining claim applications while consultation on this proposal occurs through this draft. The government will announce its decision about progressing this reform in the final plan. It will also consult with stakeholders to develop transitional arrangements to grandfather existing tenement holders. In working through these transition arrangements, requirements under the Environmental Protection Act 1994 will be considered and streamlined. Importantly, small-scale miners will still be able to gain tenure through a mining lease, and recreational miners will still get access to designated fossicking areas in the state.",6: Improve Regulatory Efficiency,2021-2023,Commenced,31/12/2023 (TBC),Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,41,Implement reforms for use of steel casing�,The Petroleum and Gas (Safety) Regulation 2018 and Coal Mining Safety and Health Regulation 2017 prohibit the use of steel casing in horizontal wells unless the operator receives an exemption from RSHQ. The Queensland Government will remove the prohibition on the use of steel casing in horizontal coal seam gas wells where there is no overlapping tenure. The well?s exact location and type will be reported and made publicly available through the Department of Resources? Open Data Portal. The government will also consult with stakeholders about the merits of additional regulatory reform. One option could be to allow steel casing in horizontal wells if the relevant tenure holders have included the use of steel casing in their joint interaction management plans and/or joint development plans.,6: Improve Regulatory Efficiency,2022-2023,Phase 1: Nov 2021 Non Overlapping  Tenures (Already started:,TBC,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,42,Develop a fit-for-purpose framework for extractive industry assessment�,"Key resource areas (KRAs) are areas of land where the Minister for Resources identifies extractive resources of state or regional significance, such as sand and aggregates, which are needed to support the construction and infrastructure sectors. The State Planning Policy states that, when KRAs are identified, the relevant local government must protect the extractive resource through provisions in its planning scheme. The Queensland Government will consult with stakeholders, including local governments, the community and extractive industry operators, to develop a fit-for-purpose extractive industry assessment framework. This framework will balance the impacts of extractive industries with local and state need for construction materials to support infrastructure priorities.",6: Improve Regulatory Efficiency,2022-2023,,30/09/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,43,Improve cost recovery for government services provided to industry and ensure tenures are actively developed�,"The package of process and regulatory reforms discussed in this section will improve the efficiency of the services and functions that the government provides to the resources industry. However, the Department of Resources recovers only around 15 per cent of the total cost of administering the regulatory framework that applies to the resources industry. The fees and charges that industry pays should better reflect the costs of the services being provided, in line with the government?s Principles for Fees and Charges. The Queensland Government will develop a regulatory impact statement to consult with stakeholders on ways to more fully recover the department?s administrative costs. As part of this work, the Queensland Government will also undertake a review of rent to ensure that rent charged to resource authority holders is appropriate and that it encourages active exploration and development.",6: Improve Regulatory Efficiency,2022-2023,Phase 2: TBC,15/12/2023,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
